# time(days) eclipse_dt(seconds) gw_freq(hertz)
4.414898454879384190e+03 -3.826914767880225554e+03 4.821795859251104543e-03
4.425332950715699553e+03 -3.845025768943014555e+03 4.821796087930571399e-03
4.436154464612415723e+03 -3.863853673948324285e+03 4.821796325091858536e-03
4.448497892373880859e+03 -3.885385634220438078e+03 4.821796595607039972e-03
4.461793837662592523e+03 -3.908646104671061039e+03 4.821796886997395393e-03
4.471566597656573322e+03 -3.925787234460585751e+03 4.821797101174612153e-03
4.481051521307858820e+03 -3.942459370678989217e+03 4.821797309043718630e-03
4.489023913622990221e+03 -3.956500178994610906e+03 4.821797483764608296e-03
4.495232275076892620e+03 -3.967451499079470523e+03 4.821797619825469658e-03
4.503155329842887113e+03 -3.981449457691633143e+03 4.821797793465130468e-03
4.512528100229676056e+03 -3.998040512041188776e+03 4.821797998876422610e-03
4.523739040249631216e+03 -4.017930679550045170e+03 4.821798244572622974e-03
4.535942236480343126e+03 -4.039637382622458972e+03 4.821798512014916979e-03
4.547409609471528711e+03 -4.060088518221164122e+03 4.821798763331137418e-03
4.557272284580714768e+03 -4.077719108617748134e+03 4.821798979479218622e-03
4.566346212011786520e+03 -4.093973464667215012e+03 4.821799178341322489e-03
4.576819061694002812e+03 -4.112773938375175931e+03 4.821799407861921197e-03
4.585564572215302178e+03 -4.128506556156207807e+03 4.821799599526576698e-03
4.595239280211947516e+03 -4.145945730732637458e+03 4.821799811555348841e-03
4.604888860562309674e+03 -4.163376223124214448e+03 4.821800023033463375e-03
4.609982804542491976e+03 -4.172592400142457336e+03 4.821800134671251799e-03
4.620745255953520427e+03 -4.192097784468205646e+03 4.821800370538867168e-03
4.630013874333296371e+03 -4.208932265237672254e+03 4.821800573667988331e-03
4.637022677498554003e+03 -4.221684670026297681e+03 4.821800727271487175e-03
4.648081392034105193e+03 -4.241845052936696447e+03 4.821800969632052819e-03
4.661011319381378598e+03 -4.265477614116389304e+03 4.821801253001799757e-03
4.673439218828344565e+03 -4.288254473559209146e+03 4.821801525369259940e-03
4.683932803419379525e+03 -4.307533500844147056e+03 4.821801755344690132e-03
4.694587820633179035e+03 -4.327153358104988001e+03 4.821801988858088854e-03
4.705348166291788402e+03 -4.347012408191221766e+03 4.821802224679887575e-03
